no,page_id,name,locality,category,layer,url,page,dish_photo,n_dish,identifiable,recent,note
1,472503782846620,ル・ソレイユ,取手市,casual_eatery,has_website,https://www.facebook.com/472503782846620/photos,,,,,,
2,103913745072292,イタリアン ポルタ フォルトゥーナ,台東区,restaurant,has_website,https://www.facebook.com/103913745072292/photos,,,,,,
3,201997843635789,鈴木園,古河市,non_alcoholic_beverage_venue,has_website,https://www.facebook.com/201997843635789/photos,,,,,,
4,1374849986167344,MUME,いわき市,bar,socials_only,https://www.facebook.com/1374849986167344/photos,,,,,,
5,100756348277284,元祖松坂牛ホルモン 脇田屋,高岡市,restaurant,has_website,https://www.facebook.com/100756348277284/photos,,,,,,
6,310877842300365,Shot Bar Smoke,福岡市中央区,bar,has_website,https://www.facebook.com/310877842300365/photos,,,,,,
7,613173992152691,やきとり家すみれ 石神井公園,練馬区,restaurant,has_website,https://www.facebook.com/613173992152691/photos,,,,,,
8,162840497139725,Cafe Mercado,長崎市,cafe,has_website,https://www.facebook.com/162840497139725/photos,,,,,,
9,151564248706099,きのとや 大通公園店,札幌市中央区,cafe,has_website,https://www.facebook.com/151564248706099/photos,,,,,,
10,107218946006349,来来亭周南店,周南市,restaurant,has_website,https://www.facebook.com/107218946006349/photos,,,,,,
11,1181066018737412,OKAGEYA,仙台市青葉区,restaurant,has_website,https://www.facebook.com/1181066018737412/photos,,,,,,
12,233797533441820,黒豚とんぷきん,都城市,restaurant,socials_only,https://www.facebook.com/233797533441820/photos,,,,,,
13,664994360254837,Las Manos,品川区,bar,has_website,https://www.facebook.com/664994360254837/photos,,,,,,
14,139483776150465,焼鳥 ぶらぶら,福岡市中央区,restaurant,socials_only,https://www.facebook.com/139483776150465/photos,,,,,,
15,426515344091163,トレスカーサ粋,狭山市,restaurant,has_website,https://www.facebook.com/426515344091163/photos,,,,,,
16,1490306354541339,和風創作ダイニング 明匠,岡崎市,restaurant,has_website,https://www.facebook.com/1490306354541339/photos,,,,,,
17,293903614023275,マクドナルド,みよし市,fast_food_restaurant,has_website,https://www.facebook.com/293903614023275/photos,,,,,,
18,327846114687039,バロック,名古屋市守山区,coffee_shop,socials_only,https://www.facebook.com/327846114687039/photos,,,,,,
19,100399436691512,はいから倶楽部,福岡市早良区,coffee_shop,has_website,https://www.facebook.com/100399436691512/photos,,,,,,
20,345022506318199,Menya,大阪市北区,restaurant,socials_only,https://www.facebook.com/345022506318199/photos,,,,,,
21,191488680889918,ゆあすたいる,上田市,bar,socials_only,https://www.facebook.com/191488680889918/photos,,,,,,
